,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
4858,Kobelco Construction Equipment India,Industrial Machinery ,4.3,154 Reviews,17 years old,"Job Security, Work Life Balance, Work Satisfaction",
4859,CIGNEX,IT Services & Consulting ,3.9,154 Reviews,24 years old,"Salary & Benefits, Work Life Balance",Job Security
4860,REI Systems,IT Services & Consulting ,4.5,154 Reviews,12 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
4861,Indo Count Industries,Fashion & Textile ,4.0,154 Reviews,36 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4862,Peps Industries,Furniture & Furnishing ,3.7,154 Reviews,18 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
4863,Advantum Health,Healthcare ,3.8,154 Reviews,28 years old,Work Life Balance,Promotions / Appraisal
4864,Don Bosco Tech Society,Non-Profit ,4.3,154 Reviews,18 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
4865,Porteck India Infoservices,IT Services & Consulting ,3.9,154 Reviews,22 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4866,The Pride Hotel,Hospitality ,4.1,154 Reviews,49 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
4867,Kalyan Toll Infrastructure,Engineering & Construction ,4.4,154 Reviews,22 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
4868,Maksat Technologies,Telecom ,3.9,154 Reviews,24 years old,"Promotions / Appraisal, Salary & Benefits",
4869,Kaveri Seed Company,,4.2,154 Reviews,48 years old,"Work Life Balance, Job Security, Work Satisfaction",
4870,Sv Creditline,NBFC ,3.6,154 Reviews,14 years old,"Job Security, Work Satisfaction, Promotions / Appraisal",
4871,MARG ERP,Accounting & Auditing ,3.7,154 Reviews,24 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
4872,Google Pay,FinTech ,4.2,154 Reviews,,"Skill Development / Learning, Company Culture, Salary & Benefits",
4873,Garware Hi-Tech Films,Chemicals / Agri Inputs ,4.1,154 Reviews,91 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
4874,Trane Technologies,Industrial Machinery ,4.3,154 Reviews,153 years old,"Job Security, Company Culture, Work Life Balance",
4875,Ambey Mining,Metals & Mining ,3.3,153 Reviews,19 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4876,EGIS,Power ,4.2,153 Reviews,54 years old,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
