"addressCity","addressState","price","statusType","statusText"
"Playa Del Rey","CA","$4,750,000","FOR_SALE","Multi-family home for sale"
"Playa Del Rey","CA","$4,750,000","FOR_SALE","Multi-family home for sale"
"Playa Del Rey","CA","$3,585,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,188,000","FOR_SALE","House for sale"
"Venice","CA","$2,250,000","FOR_SALE","Townhouse for sale"
"Los Angeles","CA","$1,950,000","FOR_SALE","New construction"
"Los Angeles","CA","$2,100,000","FOR_SALE","New construction"
"Venice","CA","$1,599,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,900,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$1,575,000","FOR_SALE","Condo for sale"
"Venice","CA","$1,450,000","FOR_SALE","Condo for sale"
"Venice","CA","$3,300,888","FOR_SALE","House for sale"
"Playa Del Rey","CA","$519,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$2,495,000","FOR_SALE","House for sale"
"Venice","CA","$3,600,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$1,545,000","FOR_SALE","New construction"
"Venice","CA","$1,645,000","FOR_SALE","New construction"
"Venice","CA","$1,670,000","FOR_SALE","Foreclosure"
"Playa Del Rey","CA","$4,635,150","FOR_SALE","Multi-family home for sale"
"Playa Del Rey","CA","$999,000","FOR_SALE","Condo for sale"
"Playa Vista","CA","$1,275,000","FOR_SALE","Condo for sale"
"Venice","CA","$7,790,000","FOR_SALE","House for sale"
"Venice","CA","$3,395,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$769,000","FOR_SALE","Condo for sale"
"Venice","CA","$4,150,000","FOR_SALE","House for sale"
"Venice","CA","$2,850,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,740,000","FOR_SALE","House for sale"
"Venice","CA","$1,895,000","FOR_SALE","Condo for sale"
"Marina Del Rey","CA","$3,599,999","FOR_SALE","House for sale"
"Venice","CA","$4,495,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,595,000","FOR_SALE","House for sale"
"Venice","CA","$2,988,000","FOR_SALE","Condo for sale"
"Playa Del Rey","CA","$3,725,000","FOR_SALE","Foreclosure"
"Venice","CA","$3,295,000","FOR_SALE","House for sale"
"Venice","CA","$5,500,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$3,299,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$789,000","FOR_SALE","Condo for sale"
"Playa Vista","CA","$939,000","FOR_SALE","Condo for sale"
"Venice","CA","$2,195,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,618,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,095,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,500,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$3,895,000","FOR_SALE","New construction"
"Venice","CA","$1,550,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$1,550,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$685,000","FOR_SALE","Condo for sale"
"Playa Del Rey","CA","$1,924,000","FOR_SALE","Multi-family home for sale"
